,icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid,times,labels
0,,,,220315_181559_001_j01,,,0.51,-82.11,0,green,220315_181559_001_j01,2022-03-15 18:15:00,20220315
1,,,,220315_181600_002_j01,,,0.71,-80.92,0,green,220315_181600_002_j01,2022-03-15 18:16:00,20220315
2,,,,220315_181600_003_j01,,,0.88,-79.93,69,green,220315_181600_003_j01,2022-03-15 18:16:00,20220315
3,,,,220315_181600_004_j01,,,1.03,-79.08,94,green,220315_181600_004_j01,2022-03-15 18:16:00,20220315
4,,,,220315_181600_005_j01,,,1.16,-78.33,851,green,220315_181600_005_j01,2022-03-15 18:16:00,20220315
5,,,,220315_181600_006_j01,,,1.27,-77.66,2054,green,220315_181600_006_j01,2022-03-15 18:16:00,20220315
6,,,,220315_181601_007_j01,,,1.38,-77.05,2536,red,220315_181601_007_j01,2022-03-15 18:16:00,20220315
7,,,,220315_181601_008_j01,,,1.48,-76.49,1725,yellow,220315_181601_008_j01,2022-03-15 18:16:00,20220315
8,,,,220315_181601_009_j01,,,1.58,-75.96,1388,red,220315_181601_009_j01,2022-03-15 18:16:00,20220315
9,,,,220315_181601_010_j01,,,1.67,-75.47,637,red,220315_181601_010_j01,2022-03-15 18:16:00,20220315
10,,,,220315_181601_011_j01,,,1.75,-75.0,424,green,220315_181601_011_j01,2022-03-15 18:16:00,20220315
11,,,,220315_181602_012_j01,,,1.83,-74.54,355,green,220315_181602_012_j01,2022-03-15 18:16:00,20220315
12,,,,220315_181602_013_j01,,,1.92,-74.1,297,green,220315_181602_013_j01,2022-03-15 18:16:00,20220315
13,,,,220315_181602_014_j01,,,1.99,-73.67,283,green,220315_181602_014_j01,2022-03-15 18:16:00,20220315
14,,,,220315_181602_015_j01,,,2.07,-73.24,356,green,220315_181602_015_j01,2022-03-15 18:16:00,20220315
15,,,,220315_181602_016_j01,,,2.15,-72.81,316,green,220315_181602_016_j01,2022-03-15 18:16:00,20220315
16,,,,220315_181603_017_j01,,,2.23,-72.38,311,green,220315_181603_017_j01,2022-03-15 18:16:00,20220315
17,,,,220315_181603_018_j01,,,2.31,-71.95,291,green,220315_181603_018_j01,2022-03-15 18:16:00,20220315
18,,,,220315_181603_019_j01,,,2.39,-71.51,272,green,220315_181603_019_j01,2022-03-15 18:16:00,20220315
19,,,,220315_181603_020_j01,,,2.47,-71.05,236,red,220315_181603_020_j01,2022-03-15 18:16:00,20220315
20,,,,220315_181603_021_j01,,,2.56,-70.58,185,red,220315_181603_021_j01,2022-03-15 18:16:00,20220315
21,,,,220315_181604_022_j01,,,2.65,-70.08,169,red,220315_181604_022_j01,2022-03-15 18:16:00,20220315
22,,,,220315_181604_023_j01,,,2.74,-69.55,149,red,220315_181604_023_j01,2022-03-15 18:16:00,20220315
23,,,,220315_181604_024_j01,,,2.84,-68.98,175,green,220315_181604_024_j01,2022-03-15 18:16:00,20220315
24,,,,220315_181604_025_j01,,,2.94,-68.37,220,green,220315_181604_025_j01,2022-03-15 18:16:00,20220315
25,,,,220315_181604_026_j01,,,3.06,-67.7,173,yellow,220315_181604_026_j01,2022-03-15 18:16:00,20220315
26,,,,220315_181605_027_j01,,,3.18,-66.94,163,red,220315_181605_027_j01,2022-03-15 18:16:00,20220315
27,,,,220315_181605_028_j01,,,3.32,-66.08,509,red,220315_181605_028_j01,2022-03-15 18:16:00,20220315
28,,,,220315_181605_029_j01,,,3.49,-65.08,764,yellow,220315_181605_029_j01,2022-03-15 18:16:00,20220315
29,,,,220315_181605_030_j01,,,3.68,-63.88,659,green,220315_181605_030_j01,2022-03-15 18:16:00,20220315
30,,,,220315_181607_031_j01,,,0.98,-82.21,0,green,220315_181607_031_j01,2022-03-15 18:16:00,20220315
31,,,,220315_181608_032_j01,,,1.18,-81.03,0,green,220315_181608_032_j01,2022-03-15 18:16:00,20220315
